Ticker,Stock Name
AAPL,Apple
MSFT,Microsoft
GOOGL,Alphabet
AMZN,Amazon
NVDA,NVIDIA
TSLA,Tesla
META,Meta Platforms
UNH,UnitedHealth Group
XOM,Exxon
V,Visa
JNJ,Johnson Johnson
JPM,JPMorgan Chase
WMT,Walmart
PG,Procter Gamble
LLY,Eli Lilly
MA,Mastercard
CVX,Chevron
HD,Home Depot
MRK,Merck
ABBV,AbbVie
KO,CocaCola
ORCL,Oracle
AVGO,Broadcom
AMD,AMD
NFLX,Netflix
BAC,Bank Of America
SCHW,Charles Schwab
SQ,Block
MU,Micron Technology
INTC,Intel
COIN,Coinbase Global
BA,Boeing
CRM,Salesforce
PFE,Pfizer
WRB,WR Bekley
WFC,Wells Fargo
NEE,NextEra Energy
FISV,Fiserv
ABT,Abbott Laboratories
SYK,Stryker
INTU,Intuit 
ADBE,Adobe 
ACN,Accenture
ADP,ADP
AIG,American 
ALL,Allstate 
AMGN,Amgen 
BAH,Booz Allen Hamilton Holding
BDX,Becton Dickinson
BIIB,Biogen 
BLK,BlackRock
C,Citigroup
CAT,Caterpillar 
CCI,Crown Castle 
CL,Colgate-Palmolive
CME,CME Group 
COST,Costco
CSCO,Cisco 
CSX,CSX 
DHR,Danaher
DIS,Disney
DUK,Duke Energy 
EMR,Emerson Electric
EXC,Exelon 
GE,General Electric 
GILD,Gilead Sciences
GS,Goldman Sachs
HON,Honeywell 
IBM,IBM
JCI,Johnson Controls 
LMT,Lockheed Martin
LOW,Lowes
MDLZ,Mondelez 
MMM,3M 
MO,Altria 
MS,Morgan Stanley
NKE,NIKE
NVS,Novartis AG
PEP,PepsiCo
PM,Philip Morris
PYPL,PayPal Holdings
QCOM,QUALCOMM 
RTX,Raytheon Technologies 
SLB,Schlumberger 
SRE,Sempra Energy
TMUS,T-Mobile US
TMO,Thermo Fisher Scientific 
TXN,Texas Instruments 
UNP,Union Pacific 
UPS,ups
USB,US Bancorp
VZ,Verizon
WBA,Walgreens
